,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
973,618774201413529753,1.0,False,Gaasperdam - Driemond,52.3163,5.03546,Private room,2,1,1,9,85.0,5,9,True,6,1,5.0,False,42.5,425.0,0.06,0.14,0.16,4.99,0.01643835616438356,425.0
974,17567812,0.0,False,Buitenveldert - Zuidas,52.31309,4.84703,Entire home/apt,6,3,6,16,282.0,4,1125,True,1,0,5.0,False,47.0,1128.0,0.1,0.17,0.24,4.99,0.021917808219178082,1410.6164383561643
975,29979611,0.97,False,De Aker - Nieuw Sloten,52.33323,4.79892,Private room,2,1,2,13,228.0,1,1125,True,18,0,4.33,True,114.0,228.0,0.1,0.29,0.32,4.99,0.9671232876712329,915.6986301369863
976,6834643,1.0,False,Bijlmer-Centrum,52.26926,4.977,Entire home/apt,2,1,4,8,71.0,19,1124,True,0,0,4.51,False,35.5,1349.0,0.05,0.08,0.15,2.99,0.2328767123287671,350.56164383561645
977,25925424,0.97,False,De Aker - Nieuw Sloten,52.33449,4.79678,Private room,2,1,4,13,268.0,6,365,True,30,1,5.0,True,134.0,1608.0,0.11,0.12,0.27,4.99,1.0,1115.6986301369864
978,7136326,0.0,False,Noord-Oost,52.43088,5.03517,Entire home/apt,8,4,6,13,300.0,7,14,True,27,0,3.75,False,37.5,2100.0,0.11,0.15,0.21,4.99,0.9342465753424658,1500.0
979,43864315,0.9400000000000001,True,Noord-Oost,52.42831,5.042191,Entire home/apt,5,3,4,7,135.0,6,1125,True,7,0,5.0,False,27.0,810.0,0.06,0.14,0.18,4.99,0.16164383561643836,748.5616438356165
980,31261503,0.5,False,Bijlmer-Centrum,52.26998,4.97682,Entire home/apt,5,3,3,9,165.0,6,1125,True,0,0,4.83,False,33.0,990.0,0.08,0.24,0.2,4.99,0.019178082191780823,825.2465753424658
981,1715371,0.18,False,Noord-Oost,52.43133,5.03542,Entire home/apt,6,3,4,5,150.0,7,365,True,0,0,4.78,False,25.0,1050.0,0.08,0.18,0.22,4.99,0.7397260273972602,750.0
982,36616151,0.9500000000000001,False,Buitenveldert - Zuidas,52.31042,4.85668,Entire home/apt,8,4,5,37,1000.0,4,1125,True,23,0,4.74,True,125.0,4000.0,0.16,0.29,0.18,10.99,0.4328767123287671,5000.0
983,50432232,0.93,False,Westerpark,52.39808,4.88276,Entire home/apt,4,2,3,9,250.0,5,1125,True,0,0,4.75,True,62.5,1250.0,0.12,0.25,0.18,4.99,0.7150684931506849,1291.0958904109589
984,34168773,0.43,False,Bijlmer-Centrum,52.26953,4.96942,Entire home/apt,5,3,3,6,175.0,7,28,True,1,0,4.75,False,35.0,1225.0,0.08,0.23,0.18,4.99,0.04657534246575343,758.0
985,34349975,0.0,False,Bijlmer-Centrum,52.26964,4.97362,Entire home/apt,4,2,2,8,213.0,6,7,True,30,0,4.0,False,53.25,1278.0,0.09,0.19,0.24,4.99,1.0,1065.0
986,3212754,0.27,False,Bijlmer-Centrum,52.27306,4.98013,Entire home/apt,5,3,2,3,145.0,5,365,True,1,0,4.48,False,29.0,725.0,0.07,0.11,0.17,4.99,0.6383561643835617,750.1369863013699
987,50859087,1.0,False,Bos en Lommer,52.38746,4.84061,Entire home/apt,2,1,1,4,179.0,7,365,True,26,0,4.25,True,89.5,1253.0,0.08,0.2,0.23,4.99,0.989041095890411,1131.876712328767
988,578106411434562834,0.67,False,Noord-Oost,52.425003,4.949953,Entire home/apt,5,3,3,13,350.0,6,365,True,0,0,5.0,False,70.0,2100.0,0.11,0.15,0.26,4.99,0.0,1750.0
989,47775130,1.0,False,Buitenveldert - Zuidas,52.318428,4.870775,Entire home/apt,2,1,1,5,142.0,4,186,True,0,0,4.75,True,71.0,568.0,0.07,0.13,0.19,4.99,0.0,460.75342465753425
990,48005583,1.0,False,Buitenveldert - Zuidas,52.318428,4.870775,Entire home/apt,2,1,1,3,142.0,4,180,True,0,0,4.5,True,71.0,568.0,0.06,0.08,0.15,4.99,0.0,566.2328767123288
